ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-04-06 05:07:42-04:00,6801409,5egKCqdMhLDSqwH3ajm9xww6611ViEB72hv1DevbYXm7,CT9gEhXFpXHbgXJDUqGjKy6eTLbQjDnBp6cvJsKLJm4p,PositionDirection.Short(),146114463702040,1681797269,1151073996530,1150953097445,1681797,0,0,0,False,3,1152078070000
2022-04-06 05:07:43-04:00,6801410,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,PositionDirection.Short(),69592594597884,149760568,215199774536,215192478797,149760,0,0,0,False,8,215000082000
2022-04-06 05:07:44-04:00,6801411,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,PositionDirection.Short(),150615085435,1883248,1250371517114,1250371346132,1883,0,0,0,False,0,1248045630000
2022-04-06 05:07:44-04:00,6801412,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,PositionDirection.Short(),459741979045,4124545,897143775828,897143458734,4124,0,0,0,False,4,895263350000
2022-04-06 05:07:44-04:00,6801413,HRzDJVgzQH4oxmwfXw163NmQkZBFbFVK4w8HZVr9gUi5,6zMmKu29zPxzPeZLXBMV8CTdvkeqW1PECyHmPBsYH1QF,PositionDirection.Short(),264724702936458,3309644101,1250371346132,1250070878197,3309644,0,0,0,False,0,1248045630000
2022-04-06 05:07:44-04:00,6801414,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),26907520358,336364,1250070878197,1250070908732,336,0,0,0,False,0,1248045630000
2022-04-06 05:07:46-04:00,6801415,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,PositionDirection.Short(),111127220938894,1278971107,1150953097445,1150861160509,1278971,0,0,0,False,3,1151604530000
2022-04-06 05:07:46-04:00,6801416,aoaWyTouqhvNi4eMXb9F3K4cdEutWN4egubXqnCM15P,9eLv2waS7J3aB5DrgKrqXBxYToqP2pP8nfvHjhNFvG3d,PositionDirection.Short(),25906304303929,232414400,897143458734,897125590874,232414,0,0,0,False,4,895256600000
2022-04-06 05:07:46-04:00,6801417,aoaWyTouqhvNi4eMXb9F3K4cdEutWN4egubXqnCM15P,9eLv2waS7J3aB5DrgKrqXBxYToqP2pP8nfvHjhNFvG3d,PositionDirection.Short(),143811784050249,1290101000,897125590874,897026412024,1290101,0,0,0,False,4,895256600000
2022-04-06 05:07:55-04:00,6801418,aoaWyTouqhvNi4eMXb9F3K4cdEutWN4egubXqnCM15P,9eLv2waS7J3aB5DrgKrqXBxYToqP2pP8nfvHjhNFvG3d,PositionDirection.Short(),130112207634642,1167082500,897026412024,896936695167,1167082,0,0,0,False,4,895185520000
2022-04-06 05:07:56-04:00,6801419,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),134733004615783,1684155100,1250070908732,1249918025607,1684155,0,0,0,False,0,1247646630000
2022-04-06 05:07:57-04:00,6801420,FWBE3HwdGxPP6SrsPrKrJMAhXjJcPpah8a3AxEx4bdcd,7BtBT1G2TfigAWw4ntNJcBe6muBnQzq7XgdDSyLLRFpX,PositionDirection.Short(),149095785709646,173982381,116702125954,116681240139,173982,0,0,0,False,14,117057000000
2022-04-06 05:07:57-04:00,6801421,Aj4tKafdixTrLdsyd2qQvbqoyoQqzia2SQkyAiV1xBQD,Ejgb2BzwArp4aAb7EbNGtjcjSeAeha5C4jQNvjY2X9M8,PositionDirection.Short(),867584766371061,4192249375,483398903529,483019563274,4192249,0,0,0,False,11,482782630000
2022-04-06 05:07:58-04:00,6801422,FWBE3HwdGxPP6SrsPrKrJMAhXjJcPpah8a3AxEx4bdcd,7BtBT1G2TfigAWw4ntNJcBe6muBnQzq7XgdDSyLLRFpX,PositionDirection.Short(),119095668966392,138952371,116681240139,116664560864,138952,0,0,0,False,14,117057000000
2022-04-06 05:07:58-04:00,6801423,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),11100000000000,99559548,896936695167,896929041957,99559,0,0,0,False,4,895164450000
2022-04-06 05:08:03-04:00,6801424,9pGqJ1T3HKeMopDMhSARDDAyydK3MRomqbBnUrxxq4Cz,EiZCUv2uD7j4WQEmvBRq7b9ifGNKnsoqfDSCSDEZAMUY,PositionDirection.Short(),54771908419810,661966100,1208662296682,1208511471355,661966,0,0,0,False,12,1206979080000
